People,Percent
2,0.003
3,0.009
4,0.009
5,0.01
6,0.015
7,0.015
8,0.012
9,0.034
10,0.02
11,0.033
12,0.032
13,0.036
14,0.037
15,0.037
16,0.05
17,0.046
18,0.047
19,0.052
20,0.054
21,0.06
22,0.064
23,0.059
24,0.054
25,0.071
26,0.085
27,0.074
28,0.08
29,0.093
30,0.083
31,0.098
32,0.078
33,0.09
34,0.113
35,0.088
36,0.094
37,0.077
38,0.097
39,0.096
40,0.095
41,0.1
42,0.115
43,0.109
44,0.117
45,0.132
46,0.121
47,0.131
48,0.113
49,0.122
50,0.124
51,0.122
52,0.115
53,0.125
54,0.135
55,0.144
56,0.147
57,0.145
58,0.17
59,0.154
60,0.136
61,0.159
62,0.158
63,0.148
64,0.151
65,0.169
66,0.172
67,0.167
68,0.183
69,0.158
70,0.162
71,0.163
72,0.166
73,0.183
74,0.17
75,0.183
76,0.19
77,0.184
78,0.199
79,0.183
80,0.184
81,0.215
82,0.206
83,0.216
84,0.201
85,0.222
86,0.21
87,0.228
88,0.21
89,0.213
90,0.214
91,0.238
92,0.226
93,0.225
94,0.249
95,0.222
96,0.231
97,0.23
98,0.261
99,0.24
100,0.223
101,0.252
102,0.259
103,0.26
104,0.222
105,0.256
106,0.247
107,0.265
108,0.247
109,0.282
110,0.25
111,0.242
112,0.271
113,0.269
114,0.289
115,0.241
116,0.257
117,0.294
118,0.271
119,0.267
120,0.28
121,0.278
122,0.273
123,0.305
124,0.294
125,0.291
126,0.288
127,0.276
128,0.284
129,0.263
130,0.29
131,0.295
132,0.326
133,0.297
134,0.326
135,0.307
136,0.296
137,0.336
138,0.318
139,0.325
140,0.312
141,0.329
142,0.328
143,0.323
144,0.331
145,0.337
146,0.341
147,0.344
148,0.344
149,0.352
150,0.334
151,0.353
152,0.336
153,0.349
154,0.33
155,0.34
156,0.357
157,0.36
158,0.338
159,0.343
160,0.364
161,0.371
162,0.319
163,0.348
164,0.337
165,0.374
166,0.372
167,0.387
168,0.353
169,0.387
170,0.371
171,0.377
172,0.373
173,0.359
174,0.38
175,0.382
176,0.377
177,0.372
178,0.36
179,0.376
180,0.416
181,0.399
182,0.409
183,0.375
184,0.414
185,0.41
186,0.379
187,0.382
188,0.428
189,0.402
190,0.405
191,0.39
192,0.4
193,0.429
194,0.436
195,0.408
196,0.412
197,0.413
198,0.444
199,0.427
200,0.414
201,0.419
202,0.457
203,0.436
204,0.419
205,0.427
206,0.416
207,0.422
208,0.465
209,0.468
210,0.44
211,0.426
212,0.45
213,0.439
214,0.458
215,0.463
216,0.445
217,0.454
218,0.464
219,0.483
220,0.439
221,0.455
222,0.448
223,0.445
224,0.472
225,0.436
226,0.46
227,0.427
228,0.466
229,0.473
230,0.485
231,0.479
232,0.489
233,0.476
234,0.458
235,0.474
236,0.462
237,0.477
238,0.469
239,0.502
240,0.456
241,0.484
242,0.498
243,0.485
244,0.486
245,0.477
246,0.506
247,0.492
248,0.505
249,0.489
250,0.494
251,0.502
252,0.478
253,0.492
254,0.49
255,0.484
256,0.494
257,0.5
258,0.494
259,0.498
260,0.516
261,0.504
262,0.534
263,0.504
264,0.509
265,0.522
266,0.518
267,0.546
268,0.516
269,0.506
270,0.518
271,0.514
272,0.525
273,0.514
274,0.528
275,0.531
276,0.54
277,0.521
278,0.548
279,0.543
280,0.54
281,0.505
282,0.507
283,0.545
284,0.533
285,0.558
286,0.532
287,0.511
288,0.545
289,0.577
290,0.56
291,0.572
292,0.563
293,0.55
294,0.552
295,0.539
296,0.573
297,0.575
298,0.563
299,0.579
300,0.548
301,0.574
302,0.573
303,0.568
304,0.583
305,0.571
306,0.579
307,0.552
308,0.562
309,0.567
310,0.586
311,0.585
312,0.59
313,0.571
314,0.585
315,0.578
316,0.608
317,0.584
318,0.586
319,0.591
320,0.567
321,0.583
322,0.584
323,0.588
324,0.583
325,0.582
326,0.605
327,0.58
328,0.597
329,0.625
330,0.605
331,0.603
332,0.601
333,0.576
334,0.593
335,0.604
336,0.594
337,0.627
338,0.619
339,0.607
340,0.61
341,0.602
342,0.602
343,0.616
344,0.621
345,0.613
346,0.595
347,0.631
348,0.601
349,0.603
350,0.614
351,0.622
352,0.62
353,0.614
354,0.615
355,0.608
356,0.643
357,0.648
358,0.593
359,0.637
360,0.644
361,0.621
362,0.597
363,0.62
364,0.611
365,0.659
366,0.638
367,0.626
368,0.637
369,0.655
370,0.648
371,0.628
372,0.643
373,0.617
374,0.638
375,0.613
376,0.638
377,0.643
378,0.638
379,0.643
380,0.655
381,0.637
382,0.642
383,0.644
384,0.687
385,0.646
386,0.659
387,0.662
388,0.653
389,0.663
390,0.66
391,0.643
392,0.638
393,0.656
394,0.658
395,0.628
396,0.68
397,0.648
398,0.683
399,0.654
400,0.678
